url,source_path,http_status,canonical,title,page_type,og_image,twitter_image,image_filename,image_http,image_w,image_h,og_image_alt,in_sitemap,robots,unique_image,in_batch_27,classification,exclusion_reason,recommended_action,image_shared_by
https://ambisecure.ambimat.com/,index.html,200,https://ambisecure.ambimat.com/,"AmbiSecure — Hardware-rooted identity: FIDO, JavaCard, V2X PKI",home,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-home-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-home-1200x630.png,ambisecure-home-1200x630.png,200,1200,630,"AmbiSecure secure-element hub linking smart card, USB key, IoT device, vehicle, government credential and cloud app through a hardware-rooted trust chain.",True,"index,follow",True,True,PREVIOUSLY_COMPLETED,,"None — approved 27-image batch, leave unchanged",1
https://ambisecure.ambimat.com/contact/,contact/index.html,200,https://ambisecure.ambimat.com/contact/,"Contact AmbiSecure — Talk to engineers, not BDRs",contact,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-contact-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-contact-1200x630.png,ambisecure-contact-1200x630.png,200,1200,630,"Architecture stack for Talk to engineers, not BDRs., layered from phone — india +91 / us +1 down to a hardware root of trust.",True,,True,True,PREVIOUSLY_COMPLETED,,"None — approved 27-image batch, leave unchanged",1
https://ambisecure.ambimat.com/technologies/,technologies/index.html,200,https://ambisecure.ambimat.com/technologies/,"Technologies — JavaCard, FIDO, Secure Elements, NFC, eSIM",technologies,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-technologies-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-technologies-1200x630.png,ambisecure-technologies-1200x630.png,200,1200,630,"AmbiSecure identity stack layering NFC, PKI, FIDO/WebAuthn and JavaCard on a secure-element foundation.",True,,True,True,PREVIOUSLY_COMPLETED,,"None — approved 27-image batch, leave unchanged",1
https://ambisecure.ambimat.com/technologies/secure-elements/,technologies/secure-elements/index.html,200,https://ambisecure.ambimat.com/technologies/secure-elements/,Secure elements — AmbiSecure,technologies,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-technologies-secure-elements-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-technologies-secure-elements-1200x630.png,ambisecure-technologies-secure-elements-1200x630.png,200,1200,630,Diagram of Secure elements: where the keys actually live.: host MCU to secure element moving between actors while key material stays inside hardware.,True,,True,True,PREVIOUSLY_COMPLETED,,"None — approved 27-image batch, leave unchanged",1
https://ambisecure.ambimat.com/technologies/javacard/,technologies/javacard/index.html,200,https://ambisecure.ambimat.com/technologies/javacard/,JavaCard — AmbiSecure | Bytecode applets on Secure Elements,technologies,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-technologies-javacard-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-technologies-javacard-1200x630.png,ambisecure-technologies-javacard-1200x630.png,200,1200,630,"Diagram of JavaCard, in plain language.: GP tool to card manager moving between actors while key material stays inside hardware.",True,,True,True,PREVIOUSLY_COMPLETED,,"None — approved 27-image batch, leave unchanged",1
https://ambisecure.ambimat.com/technologies/ctap2/,technologies/ctap2/index.html,200,https://ambisecure.ambimat.com/technologies/ctap2/,CTAP2 — AmbiSecure | Client-To-Authenticator Protocol,technologies,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-technologies-ctap2-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-technologies-ctap2-1200x630.png,ambisecure-technologies-ctap2-1200x630.png,200,1200,630,Diagram of CTAP2 — the protocol behind WebAuthn.: browser client to CTAP2 wire moving between actors while key material stays inside hardware.,True,,True,True,PREVIOUSLY_COMPLETED,,"None — approved 27-image batch, leave unchanged",1
https://ambisecure.ambimat.com/technologies/sam/,technologies/sam/index.html,200,https://ambisecure.ambimat.com/technologies/sam/,Secure Access Modules — SAM AV2 / AV3 architecture | AmbiSecure,technologies,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-technologies-sam-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-technologies-sam-1200x630.png,ambisecure-technologies-sam-1200x630.png,200,1200,630,Diagram of Secure Access Modules — the issuer’s key custodian.: card to reader CPU moving between actors while key material stays inside hardware.,True,,True,True,PREVIOUSLY_COMPLETED,,"None — approved 27-image batch, leave unchanged",1
https://ambisecure.ambimat.com/technologies/fido/,technologies/fido/index.html,200,https://ambisecure.ambimat.com/technologies/fido/,FIDO & WebAuthn — AmbiSecure | Phishing-resistant authentication,technologies,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-technologies-fido-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-technologies-fido-1200x630.png,ambisecure-technologies-fido-1200x630.png,200,1200,630,Diagram of FIDO & WebAuthn — phishing-resistant by construction.: RP web page to browser client moving between actors while key material stays inside…,True,,True,True,PREVIOUSLY_COMPLETED,,"None — approved 27-image batch, leave unchanged",1
https://ambisecure.ambimat.com/technologies/passkeys/,technologies/passkeys/index.html,200,https://ambisecure.ambimat.com/technologies/passkeys/,"Passkeys — BE/BS, syncable vs device-bound | AmbiSecure",technologies,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-technologies-passkeys-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-technologies-passkeys-1200x630.png,ambisecure-technologies-passkeys-1200x630.png,200,1200,630,Diagram of Passkeys — what really changed.: authenticator to authData moving between actors while key material stays inside hardware.,True,,True,True,PREVIOUSLY_COMPLETED,,"None — approved 27-image batch, leave unchanged",1
https://ambisecure.ambimat.com/technologies/v2x-pki/,technologies/v2x-pki/index.html,200,https://ambisecure.ambimat.com/technologies/v2x-pki/,V2X PKI — IEEE 1609.2 & ETSI TS 103 097 | AmbiSecure,technologies,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-technologies-v2x-pki-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-technologies-v2x-pki-1200x630.png,ambisecure-technologies-v2x-pki-1200x630.png,200,1200,630,Diagram of V2X PKI — IEEE 1609.2 & ETSI TS 103 097.: OBU · SE to Enrolment Auth moving between actors while key material stays inside hardware.,True,,True,True,PREVIOUSLY_COMPLETED,,"None — approved 27-image batch, leave unchanged",1
